CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4807044,Sedgewick,2014,Births,,12
4807044,Sedgewick,2014,Deaths,,1
4807044,Sedgewick,2015,Births,,16
4807044,Sedgewick,2015,Deaths,,9
4807044,Sedgewick,2016,Births,,7
4807044,Sedgewick,2016,Deaths,,5
4807044,Sedgewick,2017,Births,,8
4807044,Sedgewick,2017,Deaths,,10
4807044,Sedgewick,2018,Births,,12
4807044,Sedgewick,2018,Deaths,,7
4807044,Sedgewick,2019,Births,,10
4807044,Sedgewick,2019,Deaths,,9
4807044,Sedgewick,2020,Births,,12
4807044,Sedgewick,2020,Deaths,,7
4807044,Sedgewick,2021,Births,,17
4807044,Sedgewick,2021,Deaths,,15
4807044,Sedgewick,2022,Births,,14
4807044,Sedgewick,2022,Deaths,,6
4807046,Lougheed,2014,Births,,6
4807046,Lougheed,2014,Deaths,,3
4807046,Lougheed,2015,Births,,6
4807046,Lougheed,2015,Deaths,,2
4807046,Lougheed,2016,Births,,8
4807046,Lougheed,2016,Deaths,,6
4807046,Lougheed,2017,Births,,8
4807046,Lougheed,2017,Deaths,,1
4807046,Lougheed,2018,Deaths,,4
4807046,Lougheed,2019,Births,,5
4807046,Lougheed,2019,Deaths,,6
4807046,Lougheed,2020,Births,,13
4807046,Lougheed,2020,Deaths,,7
4807046,Lougheed,2021,Births,,7
4807046,Lougheed,2021,Deaths,,5
4807046,Lougheed,2022,Births,,6
4807046,Lougheed,2022,Deaths,,3
4808011,Red Deer,2001,Births,,888
4808011,Red Deer,2001,Deaths,,425
4808011,Red Deer,2002,Births,,971
4808011,Red Deer,2002,Deaths,,457
4808011,Red Deer,2003,Births,,1126
4808011,Red Deer,2003,Deaths,,516
4808011,Red Deer,2004,Births,,1017
4808011,Red Deer,2004,Deaths,,447
4808011,Red Deer,2005,Births,,969
4808011,Red Deer,2005,Deaths,,479
4808011,Red Deer,2006,Births,,1257
4808011,Red Deer,2006,Deaths,,533
4808011,Red Deer,2007,Births,,1325
4808011,Red Deer,2007,Deaths,,557
4808011,Red Deer,2008,Births,,1330
4808011,Red Deer,2008,Deaths,,510
4808011,Red Deer,2009,Births,,1346
4808011,Red Deer,2009,Deaths,,519
4808011,Red Deer,2010,Births,,1349
4808011,Red Deer,2010,Deaths,,543
4808011,Red Deer,2011,Births,,1349
4808011,Red Deer,2011,Deaths,,586
4808011,Red Deer,2012,Births,,1435
4808011,Red Deer,2012,Deaths,,636
4808011,Red Deer,2013,Births,,1356
4808011,Red Deer,2013,Deaths,,619
4808011,Red Deer,2014,Births,,1380
4808011,Red Deer,2014,Deaths,,860
4808011,Red Deer,2015,Births,,1384
4808011,Red Deer,2015,Deaths,,651
4808011,Red Deer,2016,Births,,1304
4808011,Red Deer,2016,Deaths,,615
4808011,Red Deer,2017,Births,,1245
4808011,Red Deer,2017,Deaths,,676
4808011,Red Deer,2018,Births,,1216
4808011,Red Deer,2018,Deaths,,687
4808011,Red Deer,2019,Births,,1155
4808011,Red Deer,2019,Deaths,,725
4808011,Red Deer,2020,Births,,1104
4808011,Red Deer,2020,Deaths,,811
4808011,Red Deer,2021,Births,,1047
4808011,Red Deer,2021,Deaths,,849
4808011,Red Deer,2022,Births,,970
4808011,Red Deer,2022,Deaths,,871
4805018,Strathmore,2001,Births,,97
4805018,Strathmore,2001,Deaths,,60
4805018,Strathmore,2002,Births,,115
