CSDUID,CSD,Period,IndicatorSummaryDescription,Gender,UnitOfMeasure,OriginalValue
4807044,Sedgewick,1981,Participation Rate,Female,,0.38900
4807044,Sedgewick,1986,Participation Rate,Female,,0.39700
4807044,Sedgewick,1991,Participation Rate,Female,,0.57600
4807044,Sedgewick,1996,Participation Rate,Female,,0.43100
4807044,Sedgewick,2001,Participation Rate,Female,,0.58700
4807044,Sedgewick,2006,Participation Rate,Female,,0.57000
4807044,Sedgewick,2011,Participation Rate,Female,,0.74000
4807044,Sedgewick,2016,Participation Rate,Female,,0.50700
4807044,Sedgewick,2021,Participation Rate,Female,,0.58000
4807044,Sedgewick,1981,Participation Rate,Male,,0.72300
4807044,Sedgewick,1986,Participation Rate,Male,,0.68600
4807044,Sedgewick,1991,Participation Rate,Male,,0.81200
4807044,Sedgewick,1996,Participation Rate,Male,,0.70800
4807044,Sedgewick,2001,Participation Rate,Male,,0.79100
4807044,Sedgewick,2006,Participation Rate,Male,,0.76700
4807044,Sedgewick,2011,Participation Rate,Male,,0.61600
4807044,Sedgewick,2016,Participation Rate,Male,,0.71000
4807044,Sedgewick,2021,Participation Rate,Male,,0.68000
4807044,Sedgewick,1981,Participation Rate,Both,,0.54348
4807044,Sedgewick,1986,Participation Rate,Both,,0.54300
4807044,Sedgewick,1991,Participation Rate,Both,,0.69100
4807044,Sedgewick,1996,Participation Rate,Both,,0.56200
4807044,Sedgewick,2001,Participation Rate,Both,,0.69000
4807044,Sedgewick,2006,Participation Rate,Both,,0.66900
4807044,Sedgewick,2011,Participation Rate,Both,,0.67100
4807044,Sedgewick,2016,Participation Rate,Both,,0.60700
4807044,Sedgewick,2021,Participation Rate,Both,,0.63000
4807044,Sedgewick,1981,Unemployment Rate,Female,,0.10700
4807044,Sedgewick,1986,Unemployment Rate,Female,,0.03700
4807044,Sedgewick,1991,Unemployment Rate,Female,,0.05300
4807044,Sedgewick,1996,Unemployment Rate,Female,,0.09700
4807044,Sedgewick,2001,Unemployment Rate,Female,,0.04500
4807044,Sedgewick,2006,Unemployment Rate,Female,,0.00000
4807044,Sedgewick,2011,Unemployment Rate,Female,,0.00000
4807044,Sedgewick,2016,Unemployment Rate,Female,,0.08800
