CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4807044,Sedgewick,2000,Incorporations,,4.00000
4807044,Sedgewick,2001,Incorporations,,2.00000
4807044,Sedgewick,2002,Incorporations,,4.00000
4807044,Sedgewick,2003,Incorporations,,1.00000
4807044,Sedgewick,2004,Incorporations,,4.00000
4807044,Sedgewick,2005,Incorporations,,4.00000
4807044,Sedgewick,2006,Incorporations,,2.00000
4807044,Sedgewick,2007,Incorporations,,8.00000
4807044,Sedgewick,2008,Incorporations,,3.00000
4807044,Sedgewick,2009,Incorporations,,2.00000
4807044,Sedgewick,2010,Incorporations,,3.00000
4807044,Sedgewick,2011,Incorporations,,2.00000
4807044,Sedgewick,2012,Incorporations,,4.00000
4807044,Sedgewick,2013,Incorporations,,5.00000
4807044,Sedgewick,2014,Incorporations,,4.00000
4807044,Sedgewick,2015,Incorporations,,1.00000
4807044,Sedgewick,2016,Incorporations,,2.00000
4807044,Sedgewick,2017,Incorporations,,2.00000
4807044,Sedgewick,2018,Incorporations,,3.00000
4807044,Sedgewick,2019,Incorporations,,3.00000
4807044,Sedgewick,2020,Incorporations,,3.00000
4807044,Sedgewick,2021,Incorporations,,4.00000
4807044,Sedgewick,2022,Incorporations,,4.00000
4807046,Lougheed,2006,Incorporations,,1.00000
4807046,Lougheed,2007,Incorporations,,1.00000
4807046,Lougheed,2008,Incorporations,,1.00000
4807046,Lougheed,2009,Incorporations,,1.00000
4807046,Lougheed,2010,Incorporations,,1.00000
4807046,Lougheed,2011,Incorporations,,1.00000
4807046,Lougheed,2013,Incorporations,,2.00000
4807046,Lougheed,2015,Incorporations,,1.00000
4807046,Lougheed,2019,Incorporations,,1.00000
4807046,Lougheed,2020,Incorporations,,1.00000
4807046,Lougheed,2021,Incorporations,,2.00000
4808011,Red Deer,2000,Incorporations,,627.00000
4808011,Red Deer,2001,Incorporations,,755.00000
4808011,Red Deer,2002,Incorporations,,706.00000
4808011,Red Deer,2003,Incorporations,,895.00000
4808011,Red Deer,2004,Incorporations,,830.00000
4808011,Red Deer,2005,Incorporations,,1169.00000
4808011,Red Deer,2006,Incorporations,,1350.00000
4808011,Red Deer,2007,Incorporations,,1176.00000
4808011,Red Deer,2008,Incorporations,,1149.00000
4808011,Red Deer,2009,Incorporations,,838.00000
4808011,Red Deer,2010,Incorporations,,882.00000
4808011,Red Deer,2011,Incorporations,,1021.00000
4808011,Red Deer,2012,Incorporations,,1002.00000
4808011,Red Deer,2013,Incorporations,,1050.00000
4808011,Red Deer,2014,Incorporations,,1120.00000
4808011,Red Deer,2015,Incorporations,,931.00000
4808011,Red Deer,2016,Incorporations,,857.00000
4808011,Red Deer,2017,Incorporations,,870.00000
4808011,Red Deer,2018,Incorporations,,796.00000
4808011,Red Deer,2019,Incorporations,,789.00000
4808011,Red Deer,2020,Incorporations,,785.00000
4808011,Red Deer,2021,Incorporations,,761.00000
4808011,Red Deer,2022,Incorporations,,854.00000
4805018,Strathmore,2000,Incorporations,,78.00000
4805018,Strathmore,2001,Incorporations,,99.00000
4805018,Strathmore,2002,Incorporations,,128.00000
4805018,Strathmore,2003,Incorporations,,101.00000
4805018,Strathmore,2004,Incorporations,,125.00000
4805018,Strathmore,2005,Incorporations,,124.00000
4805018,Strathmore,2006,Incorporations,,173.00000
4805018,Strathmore,2007,Incorporations,,155.00000
4805018,Strathmore,2008,Incorporations,,145.00000
