CSDUID,CSD,Period,IndicatorSummaryDescription,Sector,UnitOfMeasure,OriginalValue
4808011,Red Deer,2008,Major Projects,Pipelines,$,150.00000
4808011,Red Deer,2013,Major Projects,Pipelines,$,10.00000
4808011,Red Deer,2014,Major Projects,Pipelines,$,10.00000
4805041,Kneehill County,2011,Major Projects,Pipelines,$,8.70000
4802001,Warner County No. 5,2009,Major Projects,Pipelines,$,60.00000
4807048,Hardisty,2007,Major Projects,Pipelines,$,2195.00000
4807048,Hardisty,2008,Major Projects,Pipelines,$,2300.00000
4807048,Hardisty,2010,Major Projects,Pipelines,$,25.00000
4807048,Hardisty,2011,Major Projects,Pipelines,$,23.12500
4807048,Hardisty,2012,Major Projects,Pipelines,$,345.00000
4807048,Hardisty,2013,Major Projects,Pipelines,$,345.00000
4807048,Hardisty,2014,Major Projects,Pipelines,$,70.00000
4807048,Hardisty,2016,Major Projects,Pipelines,$,2500.00000
4807048,Hardisty,2017,Major Projects,Pipelines,$,2500.00000
4807048,Hardisty,2018,Major Projects,Pipelines,$,2500.00000
4807048,Hardisty,2019,Major Projects,Pipelines,$,2500.00000
4807048,Hardisty,2020,Major Projects,Pipelines,$,2500.00000
4807049,Wainwright No. 61,2010,Major Projects,Pipelines,$,25.00000
4807049,Wainwright No. 61,2011,Major Projects,Pipelines,$,23.12500
4807049,Wainwright No. 61,2013,Major Projects,Pipelines,$,112.50000
4807049,Wainwright No. 61,2014,Major Projects,Pipelines,$,112.50000
4807049,Wainwright No. 61,2015,Major Projects,Pipelines,$,230.68182
4807049,Wainwright No. 61,2016,Major Projects,Pipelines,$,230.68182
4807049,Wainwright No. 61,2017,Major Projects,Pipelines,$,112.50000
4807049,Wainwright No. 61,2018,Major Projects,Pipelines,$,112.50000
4807049,Wainwright No. 61,2019,Major Projects,Pipelines,$,112.50000
4807049,Wainwright No. 61,2020,Major Projects,Pipelines,$,112.50000
4808001,Red Deer County,2007,Major Projects,Pipelines,$,109.00000
4808001,Red Deer County,2008,Major Projects,Pipelines,$,114.00000
4808001,Red Deer County,2009,Major Projects,Pipelines,$,34.00000
4808001,Red Deer County,2010,Major Projects,Pipelines,$,34.00000
4808001,Red Deer County,2011,Major Projects,Pipelines,$,34.00000
4805012,Wheatland County,2007,Major Projects,Pipelines,$,15.00000
4805012,Wheatland County,2008,Major Projects,Pipelines,$,15.00000
