CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4807044,Sedgewick,2000,All Families Income (Median),$,54000.00000
4807044,Sedgewick,2000,Couple Families Income (Median),$,56800.00000
4807044,Sedgewick,2000,Lone-Parent Income (Median),$,33300.00000
4807044,Sedgewick,2001,All Families Income (Median),$,58100.00000
4807044,Sedgewick,2001,Couple Families Income (Median),$,61300.00000
4807044,Sedgewick,2001,Lone-Parent Income (Median),$,21800.00000
4807044,Sedgewick,2002,All Families Income (Median),$,57100.00000
4807044,Sedgewick,2002,Couple Families Income (Median),$,61600.00000
4807044,Sedgewick,2002,Lone-Parent Income (Median),$,31500.00000
4807044,Sedgewick,2003,All Families Income (Median),$,62300.00000
4807044,Sedgewick,2003,Couple Families Income (Median),$,65600.00000
4807044,Sedgewick,2003,Lone-Parent Income (Median),$,40800.00000
4807044,Sedgewick,2004,All Families Income (Median),$,70900.00000
4807044,Sedgewick,2004,Couple Families Income (Median),$,73200.00000
4807044,Sedgewick,2004,Lone-Parent Income (Median),$,43300.00000
4807044,Sedgewick,2005,All Families Income (Median),$,75600.00000
4807044,Sedgewick,2005,Couple Families Income (Median),$,77700.00000
4807044,Sedgewick,2005,Lone-Parent Income (Median),$,44500.00000
4807044,Sedgewick,2006,All Families Income (Median),$,78300.00000
4807044,Sedgewick,2006,Couple Families Income (Median),$,83600.00000
4807044,Sedgewick,2006,Lone-Parent Income (Median),$,47900.00000
4807044,Sedgewick,2007,All Families Income (Median),$,81200.00000
4807044,Sedgewick,2007,Couple Families Income (Median),$,85100.00000
4807044,Sedgewick,2007,Lone-Parent Income (Median),$,51560.00000
4807044,Sedgewick,2008,All Families Income (Median),$,82210.00000
4807044,Sedgewick,2008,Couple Families Income (Median),$,85660.00000
4807044,Sedgewick,2008,Lone-Parent Income (Median),$,42270.00000
4807044,Sedgewick,2009,All Families Income (Median),$,79550.00000
4807044,Sedgewick,2009,Couple Families Income (Median),$,81780.00000
4807044,Sedgewick,2009,Lone-Parent Income (Median),$,45800.00000
4807044,Sedgewick,2010,All Families Income (Median),$,83400.00000
4807044,Sedgewick,2010,Couple Families Income (Median),$,87590.00000
4807044,Sedgewick,2010,Lone-Parent Income (Median),$,45210.00000
4807044,Sedgewick,2011,All Families Income (Median),$,89000.00000
4807044,Sedgewick,2011,Couple Families Income (Median),$,91490.00000
4807044,Sedgewick,2011,Lone-Parent Income (Median),$,48660.00000
4807044,Sedgewick,2012,All Families Income (Median),$,90610.00000
4807044,Sedgewick,2012,Couple Families Income (Median),$,94090.00000
4807044,Sedgewick,2012,Lone-Parent Income (Median),$,47170.00000
4807044,Sedgewick,2013,All Families Income (Median),$,95230.00000
